SMU_voltage_V,Vpv_V,Idc_pv_A,Power_W
9.5,-0.179964175,2.235,-0.402219931125
9.6,-0.077560771,2.233,-0.173193201643
9.7,0.0384006424,2.233,0.0857486344792
9.8,0.129247476,2.233,0.288609613908
9.9,0.255572992,2.233,0.570694491136
10.0,0.33865601,2.231,0.75554155831
10.1,0.443257767,2.226,0.9866917893420001
10.2,0.51448661,2.195,1.1292981089499998
10.3,0.544320237,2.135,1.1621237059949998
10.4,0.567395502,2.065,1.17167171163
10.5,0.578746454,1.968,1.138973021472
10.6,0.588173555,1.899,1.116941580945
10.7,0.596902317,1.802,1.075617975234
10.8,0.602175289,1.71,1.02971974419
10.9,0.608386894,1.635,0.99471257169
11.0,0.613123545,1.527,0.9362396532149999
11.1,0.616981851,1.45,0.89462368395
11.2,0.621572418,1.356,0.842852198808
11.3,0.624590603,1.254,0.783236616162
11.4,0.62813525,1.18,0.741199595
11.5,0.63140841,1.074,0.6781326323400001
11.6,0.633840671,0.986,0.624966901606
11.7,0.636970714,0.904,0.5758215254560001
11.8,0.639445256,0.796,0.508998423776
11.9,0.641708117,0.716,0.45946301177199994
12.0,0.644418814,0.617,0.397606408238
12.1,0.646267564,0.524,0.338644203536
12.2,0.648735079,0.442,0.28674090491800003
12.3,0.650689306,0.332,0.216028849592
12.4,0.6525699,0.254,0.16575275460000002
12.5,0.654685741,0.167,0.10933251874700001
12.6,0.656574946,0.057,0.037424771922
