SMU_V,Vpv,Ipv
11.0,-0.886202339,0.07
11.05,-0.836021733,0.07
11.100000000000001,-0.786188348,0.07
11.150000000000002,-0.736083103,0.07
11.200000000000003,-0.685984528,0.07
11.250000000000004,-0.636088945,0.07
11.300000000000004,-0.586038906,0.072
11.350000000000005,-0.53591387,0.07
11.400000000000006,-0.485705833,0.069
11.450000000000006,-0.435960302,0.07
11.500000000000007,-0.385729107,0.07
11.550000000000008,-0.335711113,0.07
11.600000000000009,-0.285921313,0.07
11.65000000000001,-0.235752402,0.069
11.70000000000001,-0.185597219,0.07
11.75000000000001,-0.135827467,0.07
11.800000000000011,-0.0857531726,0.07
11.850000000000012,-0.0356725546,0.07
11.900000000000013,0.0144235469,0.07
11.950000000000014,0.0642369704,0.07
12.000000000000014,0.114332021,0.069
12.050000000000015,0.164486477,0.07
12.100000000000016,0.214236233,0.069
12.150000000000016,0.264370841,0.07
12.200000000000017,0.314250572,0.069
12.250000000000018,0.363814848,0.07
12.300000000000018,0.413517544,0.068
12.35000000000002,0.462833558,0.067
12.40000000000002,0.511777965,0.07
12.45000000000002,0.559144459,0.061
12.500000000000021,0.603726019,0.063
12.550000000000022,0.642245089,0.047
12.600000000000023,0.675099732,0.033
12.650000000000023,0.704714246,0.015
12.700000000000024,0.732369371,-0.014
