timestamp,point_index,smu_voltage_V,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W
2026-06-01T17:05:29,1,11.0,-0.888344117,0.075,0.075,-0.066625808775
2026-06-01T17:05:29,2,11.1,-0.78850095,0.076,0.076,-0.0599260722
2026-06-01T17:05:30,3,11.2,-0.688246919,0.076,0.076,-0.052306765844
2026-06-01T17:05:30,4,11.3,-0.588357841,0.077,0.077,-0.045303553757
2026-06-01T17:05:30,5,11.4,-0.488067768,0.076,0.076,-0.037093150368
2026-06-01T17:05:30,6,11.5,-0.388141292,0.076,0.076,-0.029498738192000003
2026-06-01T17:05:31,7,11.6,-0.288292119,0.076,0.076,-0.021910201044
2026-06-01T17:05:31,8,11.7,-0.188001093,0.076,0.076,-0.014288083068
2026-06-01T17:05:31,9,11.8,-0.0880175236,0.076,0.076,-0.0066893317936
2026-06-01T17:05:31,10,11.9,0.0120902289,0.076,0.076,0.0009188573964
2026-06-01T17:05:31,11,12.0,0.112020806,0.076,0.076,0.008513581256
2026-06-01T17:05:32,12,12.1,0.212025365,0.075,0.075,0.015901902375
2026-06-01T17:05:32,13,12.2,0.311987434,0.075,0.075,0.02339905755
2026-06-01T17:05:32,14,12.3,0.411153815,0.073,0.073,0.030014228494999996
2026-06-01T17:05:32,15,12.4,0.509637726,0.074,0.074,0.037713191724
2026-06-01T17:05:33,16,12.5,0.602275209,0.068,0.068,0.040954714212000004
2026-06-01T17:05:33,17,12.6,0.674348866,0.042,0.042,0.028322652372
2026-06-01T17:05:33,18,12.7,0.73053877,0.001,0.001,0.00073053877
2026-06-01T17:05:33,19,12.8,0.780411327,-0.052,-0.052,-0.040581389004
